step,n_vars,removed,AIC,BIC,R2,Adj_R2,delta_AIC
0,35,(시작),16220.997649352787,16446.095089709223,0.07155519874599225,0.06300823187490079,0.0
1,34,is_monday,16218.997661746158,16437.842395426025,0.07155519574793123,0.06325461111880415,-1.9999876066285651
2,33,covid_2020_regime,16217.132149133846,16429.724176137144,0.07152266153635078,0.06346804740141376,-1.865512612312159
3,32,oil_momentum_5,16215.37658682082,16421.71590714755,0.07146352602816475,0.06365454648359226,-1.7555623130265303
4,31,gfc_2008_window,16213.74760078266,16413.834214432827,0.07137376139876905,0.06381006896665176,-1.628986038158473
5,30,cond_inventory_draw,16212.182847270687,16406.016754244283,0.07126844502881202,0.063949835454571,-1.564753511973322
6,29,DollarIndex,16210.641591987462,16398.22279228449,0.07115742987575158,0.06408378635327161,-1.541255283225837
7,28,TermSpread_inversion,16209.13048563309,16390.45897925355,0.07103910414514802,0.0642103026004025,-1.5111063543718046
8,27,covid_2020_window,16207.67355922635,16382.749346170245,0.07090764770269609,0.06432352867066793,-1.4569264067395125
9,26,TreasuryYield,16206.334116892915,16375.15719716024,0.0707477279807468,0.06440803785413951,-1.339442333435727
10,25,oil_diff_lag5,16205.393584640347,16367.963958231107,0.07049117542479089,0.0643952361240615,-0.9405322525672091
11,24,war_2022_regime,16204.712589261515,16361.030256175705,0.07017167643227273,0.06431909847118555,-0.6809953788324492
12,23,OilProduction,16204.130242255775,16354.195202493398,0.06982815965638511,0.06421883812311202,-0.5823470057403028
13,22,opec_2014_window,16203.56778351325,16347.380037074307,0.06947969408884591,0.06411365300626515,-0.5624587425245409
14,21,gfc_2008_regime,16203.212352681052,16340.77189956554,0.06908088405313983,0.06395790149682845,-0.3554308321981807
15,20,vix_high,16201.723642241119,16333.03048244904,0.06895686088210717,0.06407845826687075,-1.4887104399331292
16,19,oil_momentum_20,16201.680895034679,16326.735028566032,0.06848193865258956,0.06384630660292989,-0.04274720644025365
