,coef,SE_HC3,t_HC3,p_HC3
CPE,0.0017844196531537873,0.0006519062256057281,2.7372336435286657,0.006195827118904742
OilInventories,-1.6608901019331117e-05,6.195784306279849e-06,-2.6806777315499613,0.007347323606468293
opec_2014_shock,-0.8997083197691809,0.37658499428557085,-2.3891241908776553,0.016888592359486976
RealInterestRate,0.35922413808314085,0.16827545869202493,2.134738724679914,0.03278235794481651
gfc_2008_shock,-1.6288197112750762,0.7645272798026376,-2.130492598897917,0.0331309661944257
MA_ratio,-6.41840075455597,3.2352640178032845,-1.9838877814101883,0.04726835133664375
cond_opec_cut,-0.202060729349379,0.10461197824500486,-1.9315257462787465,0.053418068534583044
oil_diff_lag1,-0.06305663990962473,0.03270739236577597,-1.9279017784250299,0.053867344504958066
VIX,-0.038314112603831794,0.021173298608020807,-1.8095485882071183,0.07036581880934616
MA_5_gt_MA_20,0.41913526491922143,0.23730745770352513,1.7662119386187134,0.07736029886598696
war_2022_window,2.543174666955828,1.590099602738236,1.5993807322361104,0.10973603086703863
war_2022_shock,-1.2731316070702627,0.889086437067804,-1.4319548178791648,0.15215675235498505
is_friday,-0.12341805245353832,0.08990459872879412,-1.3727668461748075,0.16982484061516945
oil_volatility_20,0.1276454655373083,0.10052741979178519,1.2697577019453066,0.20417095185698853
opec_2014_regime,-0.13939715616641207,0.1100492724643548,-1.2666794886041897,0.20526991707863396
IndustryProduction,-0.10807990399690093,0.08943766057406802,-1.2084384061834252,0.22687867438046316
OilPrice,-0.15424603873688006,0.13702406897393837,-1.1256857272733396,0.26029856716104416
OPECProduction,-0.00013945225187918893,0.00014826992644426763,-0.9405295815777374,0.3469459833465659
covid_2020_shock,-0.8346474510995765,1.341204891200609,-0.6223116666033208,0.5337369512725254
